accuracy,auroc,pr,method,theta,mu
0.8760775728022491,0.9551192223038053,0.9570657113266889,ISOMAP,0.6,0.1
0.882621739216816,0.9620583809634407,0.9628776694406971,ISOMAP,0.75,0.1
0.81148264888158,0.8959967106475795,0.8965442172058786,N2V,0.35,0.1
0.8196999950494233,0.9029008600897119,0.9034414276419319,N2V,0.4,0.1
0.9096081178618435,0.972039485899435,0.9730789224262141,LE,0.65,0.1
0.9236571372044713,0.9787822305097885,0.9794601172772268,LE,0.8,0.1
0.8255845299498589,0.9090229903414745,0.9095356245739972,N2V,0.45,0.1
0.8837274542484199,0.957844816391283,0.9593812140030085,LE,0.4,0.1
0.6364414833070521,0.6895269190269954,0.681479292244482,ISOMAP,0.05,0.1
0.8673408089707649,0.9549718944308622,0.9565327233898799,ISOMAP,0.95,0.1
0.7990804922902816,0.885964064810091,0.8876710913325417,N2V,0.3,0.1
0.9324387320191796,0.9825516176382928,0.9826761542469891,LE,0.85,0.1
0.8510321260405698,0.9273144810756403,0.9255952765362321,N2V,0.75,0.1
0.7725298086699325,0.8603025455182803,0.8631105588204367,ISOMAP,0.25,0.1
0.713770109377407,0.7906446447817765,0.7881246593707392,N2V,0.1,0.1
0.8426012253596165,0.9169078745217091,0.9127884310423571,N2V,0.85,0.1
0.8652143160277267,0.9462250653034365,0.9481799418185178,LE,0.3,0.1
0.8358050060657077,0.9232251540111376,0.9256019194423151,LE,0.2,0.1
0.8145204269638969,0.9038433680487472,0.9063943314321834,ISOMAP,0.35,0.1
0.7866451876988895,0.8730821391350623,0.8741843964616235,N2V,0.25,0.1
0.8757784782178368,0.9530398650131974,0.9548761614495941,LE,0.35,0.1
0.8445633252664204,0.9236212468274364,0.9241246483790736,N2V,0.65,0.1
0.937571677885814,0.9853334007758502,0.9856834374256157,LE,0.9,0.1
0.877534869917895,0.9597884331816136,0.9620704193530998,ISOMAP,0.8,0.1
0.7467195662400039,0.8330463257067551,0.8367690464822767,ISOMAP,0.2,0.1
0.8763400648217402,0.9606891114858818,0.9623815129815443,ISOMAP,0.9,0.1
0.8762653169952052,0.9608015170481641,0.9622807247937462,ISOMAP,0.85,0.1
0.8270020957441542,0.9157843062961226,0.918289219921773,ISOMAP,0.4,0.1
0.8874431644591413,0.9604423870244192,0.9618590290269234,LE,0.45,0.1
0.8544161726063935,0.9366743073507475,0.9387296301415058,LE,0.25,0.1
0.8456769045522348,0.9321126495455941,0.9342846886585118,ISOMAP,0.45,0.1
0.8371941308506285,0.9190954305658715,0.9198408564473204,N2V,0.55,0.1
0.6576666422999404,0.7191954717502387,0.713004123392214,N2V,0.05,0.1
0.8502819269957463,0.9255886447817037,0.9253487077172514,N2V,0.8,0.1
0.8176015956120668,0.8959357572632698,0.8906037365257105,N2V,0.9,0.1
0.8939273901245816,0.9639009162769818,0.9655480013649189,LE,0.5,0.1
0.9187809190789343,0.9772444761330747,0.9778108562148351,LE,0.75,0.1
0.7725421504790672,0.8587669417228548,0.8594486238792659,N2V,0.2,0.1
0.8503574317742815,0.9274332106767339,0.926270253613997,N2V,0.7,0.1
0.8800416040679533,0.9592126690841338,0.960864899088737,ISOMAP,0.7,0.1
0.7614136964357229,0.8409578913764671,0.8239435624787075,N2V,0.95,0.1
0.8208030855638029,0.9081422843591905,0.9104857704673364,LE,0.15,0.1
0.6820022447677105,0.7521599540823026,0.7504463773081002,ISOMAP,0.1,0.1
0.8320525262928559,0.914466142771945,0.9150237310812785,N2V,0.5,0.1
0.7992473425911661,0.8863394400225626,0.8871531802418622,LE,0.1,0.1
0.8788264764573515,0.9582422235496344,0.9594898562273064,ISOMAP,0.65,0.1
0.7940090536143726,0.884472452381963,0.8881791260977087,ISOMAP,0.3,0.1
0.719543457742458,0.7997164121187332,0.8007165369971566,ISOMAP,0.15,0.1
0.8441826618069637,0.9234157090250428,0.9228899263981192,N2V,0.6,0.1
0.9153060045236169,0.9756425788610028,0.9762263353051566,LE,0.7,0.1
0.9063304680988693,0.971199796045054,0.9722467939379473,LE,0.6,0.1
0.855572500940799,0.9404125038312019,0.9428211347620783,ISOMAP,0.5,0.1
0.9445334401281538,0.9879608463113044,0.9876068634130937,LE,0.95,0.1
0.7473636374229483,0.8307292550192943,0.8304264344748543,N2V,0.15,0.1
0.7607326726469574,0.8468187003607056,0.8460016403580475,LE,0.05,0.1
0.8993686352126848,0.9668811252862052,0.968143565505403,LE,0.55,0.1
0.8653678169816119,0.9481078205409295,0.9501969508745912,ISOMAP,0.55,0.1
